time [UTC],DE::Aedes,DE::Chikungunya,DE::Culex,DE::Dengue,DE::Usutu,DE::West Nile,DE::Zika,AT::Aedes,AT::Chikungunya,AT::Culex,AT::Dengue,AT::Usutu,AT::West Nile,AT::Zika,CH::Aedes,CH::Chikungunya,CH::Culex,CH::Dengue,CH::Usutu,CH::West Nile,CH::Zika,IT::Aedes,IT::Chikungunya,IT::Culex,IT::Dengue,IT::Usutu,IT::West Nile,IT::Zika,ES::Aedes,ES::Chikungunya,ES::Culex,ES::Dengue,ES::Usutu,ES::West Nile,ES::Zika,FR::Aedes,FR::Chikungunya,FR::Culex,FR::Dengue,FR::Usutu,FR::West Nile,FR::Zika
2018-12-01,0.36231884057971014,0.43478260869565216,0.0,6.702898550724638,0.0,0.5434782608695652,8.238636363636365,0.0,0.0,0.0,17.36111111111111,0.0,0.0,18.055555555555557,0.0,4.166666666666667,0.0,8.90909090909091,0.0,0.0,51.282051282051285,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,2.898550724637681,2.5,3.3333333333333335,0.0,15.0,0.0,0.0,7.5,0.0,0.0,0.0,1.25,0.0,0.0,2.857142857142857
2019-01-01,0.3703703703703704,0.4444444444444445,0.0,7.5,0.0,1.1111111111111112,9.424603174603176,0.0,0.0,0.0,38.333333333333336,0.0,0.0,38.57142857142858,0.0,0.0,0.0,16.727272727272727,0.0,0.0,57.69230769230769,0.0,0.0,0.0,2.0,0.0,0.0,3.3333333333333335,2.5,0.0,0.0,20.0,0.0,0.0,7.5,2.3809523809523805,0.0,0.0,1.0416666666666665,0.0,0.0,2.3809523809523805
2019-02-01,0.7092198581560284,0.425531914893617,0.0,6.403838130997079,0.0,0.5319148936170213,7.932263814616756,0.0,0.0,0.0,36.82539682539683,0.0,0.0,32.857142857142854,5.555555555555556,11.11111111111111,0.0,25.263157894736842,0.0,0.0,100.0,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,1.4492753623188406,2.272727272727273,0.0,0.0,13.636363636363637,0.0,0.0,6.818181818181818,2.0408163265306123,0.0,0.0,1.7857142857142856,0.0,0.0,2.0408163265306123
2019-03-01,1.149425287356322,0.3448275862068966,0.0,5.473453749315818,0.0,0.8620689655172414,6.437389770723104,0.0,0.0,0.0,34.03508771929825,0.0,4.166666666666666,27.14285714285714,1.6666666666666667,5.555555555555555,0.0,9.652173913043477,0.0,0.0,43.589743589743584,1.1363636363636365,0.0,0.0,0.9090909090909092,0.0,0.0,1.5151515151515154,1.7857142857142856,0.0,0.0,10.714285714285714,0.0,0.0,5.357142857142857,1.5873015873015872,2.7777777777777777,0.0,1.3888888888888888,0.0,0.0,1.5873015873015872
2019-04-01,0.9259259259259259,0.3703703703703704,0.0,6.2865497076023376,0.0,0.925925925925926,5.431848852901484,0.0,0.0,0.0,24.928160919540232,0.0,0.0,15.416666666666666,3.7037037037037037,9.139784946236558,0.0,13.448275862068964,0.0,0.0,44.871794871794876,1.0416666666666665,0.0,0.0,0.8333333333333333,0.0,0.0,1.3888888888888886,3.3333333333333335,0.0,0.0,11.666666666666668,0.0,0.0,5.0,3.9682539682539684,1.3888888888888888,0.0,1.0416666666666665,0.0,0.0,0.7936507936507936
2019-05-01,2.20125786163522,0.37735849056603776,0.0,5.710029791459782,0.0,0.9433962264150944,5.508771929824562,2.380952380952381,0.0,0.0,20.54673721340388,0.0,0.0,11.375661375661375,16.551724137931032,2.6819923371647514,0.0,14.521072796934867,0.0,0.0,34.61538461538461,0.9259259259259258,0.0,0.0,1.4814814814814814,0.0,0.0,2.4691358024691357,4.545454545454546,0.0,0.0,9.090909090909092,0.0,0.0,3.409090909090909,3.4285714285714284,1.0,0.0,0.5,0.0,0.0,0.5714285714285714
2019-06-01,5.349794238683128,0.7407407407407408,0.0,3.739179792819639,0.0,0.6172839506172839,4.627949183303085,8.974358974358974,1.4035087719298245,0.0,11.773940345368915,0.0,10.15625,11.613876319758672,23.71062271062271,2.7777777777777777,0.9467455621301776,5.466666666666666,0.0,0.0,18.406593406593405,2.083333333333333,0.6944444444444443,0.0,1.6666666666666665,0.0,0.0,1.3888888888888886,7.97872340425532,4.964539007092198,0.0,13.829787234042552,0.0,0.0,2.127659574468085,2.521008403361345,0.3676470588235294,0.0,0.2757352941176471,0.0,0.0,0.21008403361344535
2019-07-01,4.72636815920398,0.29850746268656714,0.0,5.462271973466003,0.0,0.7462686567164178,5.555555555555556,6.862745098039215,1.6,0.0,16.807610993657505,9.090909090909092,3.571428571428571,18.78787878787879,30.604040404040408,1.5873015873015872,0.0,5.956521739130435,0.0,0.0,13.586413586413585,2.403846153846154,0.6410256410256411,0.0,3.076923076923077,0.0,0.0,1.9230769230769231,6.382978723404255,0.7092198581560284,0.0,4.787234042553191,0.0,0.0,2.127659574468085,3.2380952380952377,0.6666666666666667,0.0,0.33333333333333337,0.0,0.0,0.19047619047619052
2019-08-01,3.980099502487562,0.29850746268656714,0.0,7.151741293532338,2.083333333333333,1.1194029850746268,5.622759856630824,5.172413793103448,2.7906976744186047,0.0,23.243243243243242,0.0,7.291666666666667,18.076923076923077,19.07894736842105,2.2222222222222223,0.0,9.428571428571429,0.0,3.947368421052632,16.923076923076923,2.906976744186046,0.7751937984496124,0.0,9.30232558139535,0.0,0.0,2.3255813953488373,5.555555555555555,0.7407407407407408,0.0,5.0,0.0,0.0,1.6666666666666667,3.4562211981566824,0.8064516129032258,0.0,0.4032258064516129,0.0,0.0,0.46082949308755755
2019-09-01,2.777777777777778,0.33333333333333337,0.0,6.746031746031744,2.380952380952381,4.583333333333333,6.349206349206348,3.6231884057971016,0.0,0.0,21.120689655172413,0.0,3.9473684210526314,21.25,17.079365079365076,2.2222222222222223,0.0,7.6,0.0,1.038961038961039,15.384615384615385,1.9230769230769231,0.8547008547008547,0.0,4.102564102564102,0.0,0.0,2.564102564102564,6.081081081081082,0.0,0.0,6.756756756756757,0.0,0.0,2.7027027027027026,3.8461538461538463,0.9615384615384616,0.0,0.9615384615384615,0.0,0.0,0.5494505494505495
