,Germany,Germany,Germany,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Spain,Spain,Spain,France,France,France
,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage
date,,,,,,,,,,,,,,,,,,
2014-03-01,161986,42,0.0259281666316842,37309.0,5.0,0.0134015921091425,43463.0,6.0,0.0138048455007707,65818.0,32.0,0.0486189188367923,185460,92,0.049606384125957,132738,38,0.0286278232307251
2014-04-01,156300,38,0.0243122200895713,40048.0,9.0,0.0224730323611666,42513.0,10.0,0.0235222167337049,73064.0,36.0,0.0492718712361765,172952,140,0.080947314861927,131500,63,0.0479087452471482
2014-05-01,156375,58,0.0370903277378097,35883.0,4.0,0.0111473399660006,41167.0,1.0,0.0024291301285009,79194.0,73.0,0.0921787004065964,160369,126,0.0785688007033778,127577,48,0.037624336675106
2014-06-01,148096,58,0.0391637856525496,35500.0,4.0,0.0112676056338028,41701.0,5.0,0.0119901201410038,80220.0,51.0,0.0635751682872101,124442,85,0.0683049131322222,127116,109,0.0857484502344315
2014-07-01,161580,19,0.0117588810496348,35735.0,3.0,0.008395130824122,39907.0,10.0,0.0250582604555591,79859.0,80.0,0.1001765611890957,134184,121,0.0901746855064687,124430,131,0.1052800771518122
2014-08-01,167414,32,0.0191142915168384,34525.0,2.0,0.0057929036929761,39756.0,0.0,0.0,69564.0,87.0,0.125064688632051,125548,84,0.0669066811100137,107399,120,0.1117328839188446
2014-09-01,168581,51,0.03025251956033,36894.0,2.0,0.0054209356534937,42821.0,4.0,0.0093412110880175,78177.0,58.0,0.0741906187241771,143060,102,0.0712987557668111,138013,121,0.0876729003789498
2014-10-01,164790,57,0.0345894775168396,38490.0,7.0,0.0181865419589503,42743.0,2.0,0.0046791287462274,83055.0,38.0,0.0457528144000963,149979,88,0.0586748811500276,138437,120,0.0866820286484104
2014-11-01,157882,37,0.0234352237747178,31822.0,3.0,0.0094274401357551,41284.0,9.0,0.0218002131576397,92171.0,39.0,0.04231265799438,141561,87,0.0614576048487931,130739,27,0.0206518330414031
2014-12-01,166523,70,0.0420362352347723,28926.0,4.0,0.0138283896840212,37009.0,8.0,0.0216163635872355,81484.0,22.0,0.0269991654803396,134524,58,0.0431149832000237,130889,18,0.0137521105669689
2015-01-01,170585,103,0.0603804554913972,32307.0,6.0,0.0185718265391401,41325.0,4.0,0.0096793708408953,87853.0,46.0,0.0523601925944475,138843,79,0.0568987993633096,148979,29,0.0194658307546701
2015-02-01,157404,55,0.0349419328606642,34057.0,2.0,0.0058725078544792,38889.0,0.0,0.0,83859.0,66.0,0.0787035380817801,137043,73,0.0532679523945039,130587,23,0.0176127792199836
2015-03-01,170015,50,0.0294091697791371,35978.0,5.0,0.0138973817332814,45192.0,2.0,0.0044255620463798,94671.0,64.0,0.0676025393203832,151564,41,0.0270512786677575,140467,25,0.0177977745662682
2015-04-01,157860,67,0.0424426707208919,36738.0,14.0,0.0381076814197833,41390.0,4.0,0.0096641700893935,87670.0,63.0,0.0718603855366716,150282,97,0.0645453214623175,133138,58,0.0435638209977617
2015-05-01,154877,27,0.0174331889176572,35688.0,5.0,0.0140103115893297,40057.0,1.0,0.0024964425693386,89090.0,67.0,0.0752048490290717,152582,43,0.0281815679437941,132433,47,0.0354896438198938
2015-06-01,166053,42,0.0252931293020902,35579.0,7.0,0.0196745271086877,33541.0,8.0,0.0238514057422259,85587.0,78.0,0.0911353359739212,147018,39,0.0265273639962453,143112,69,0.0482139862485326
2015-07-01,174324,68,0.0390078245106812,35906.0,3.0,0.008355149557177,38751.0,6.0,0.0154834713942866,93972.0,100.0,0.1064146767122121,146302,74,0.0505803064893166,125567,85,0.0676929448023764
2015-08-01,166503,52,0.0312306685164831,34650.0,5.0,0.0144300144300144,25759.0,4.0,0.0155285531270623,81443.0,48.0,0.0589369252114976,129381,170,0.1313948725083281,112152,167,0.14890505742207
2015-09-01,173591,22,0.012673468094544,36187.0,2.0,0.0055268466576394,23747.0,3.0,0.0126331747168063,93671.0,87.0,0.0928782654183258,147696,87,0.0589047773805654,146480,73,0.0498361551064991
2015-10-01,173655,47,0.0270651579280757,37360.0,5.0,0.0133832976445396,38946.0,8.0,0.0205412622605659,99114.0,71.0,0.0716346832939847,162769,51,0.0313327476362206,149653,45,0.0300695609175893
2015-11-01,180882,73,0.0403578023241671,37186.0,4.0,0.0107567364061743,26986.0,1.0,0.0037056251389609,100001.0,61.0,0.0609993900060999,166526,65,0.039032943804571,146643,55,0.0375060521129545
2015-12-01,169687,75,0.0441990252641628,33926.0,13.0,0.0383186936273064,36079.0,10.0,0.0277169544610438,91487.0,50.0,0.0546525735896903,188754,89,0.0471513186475518,135880,67,0.0493082131292316
2016-01-01,178960,141,0.0787885561019222,36469.0,26.0,0.0712934272944144,41578.0,25.0,0.060127952282457,99861.0,139.0,0.1391934789357206,188446,580,0.3077804782271844,144676,492,0.3400702258840443
2016-02-01,197898,174,0.0879240821029015,36958.0,20.0,0.0541154824395259,42303.0,28.0,0.0661891591612888,106778.0,239.0,0.2238288786079529,203183,1427,0.7023225368264078,146841,732,0.4984983757942264
2016-03-01,190733,64,0.0335547597951062,36214.0,4.0,0.0110454520351245,44357.0,6.0,0.0135266136122821,110395.0,95.0,0.0860546220390416,208888,307,0.1469687105051511,147529,200,0.1355665665733516
2016-04-01,183594,108,0.0588254518121507,35249.0,15.0,0.0425543987063462,39894.0,21.0,0.0526394946608512,123652.0,110.0,0.088959337495552,198204,303,0.1528727977235575,121760,228,0.1872536136662286
2016-05-01,193266,103,0.0532944232301594,35672.0,5.0,0.0140165956492487,40690.0,12.0,0.0294912754976652,113739.0,117.0,0.102867090443911,215357,416,0.1931676239917903,128566,160,0.1244496989872905
2016-06-01,211239,144,0.0681692301137574,41604.0,31.0,0.0745120661474858,44622.0,29.0,0.0649903634978261,118035.0,116.0,0.0982759351039945,222298,914,0.411159794510072,144197,130,0.0901544414932349
2016-07-01,229155,115,0.0501843730226266,39429.0,12.0,0.0304344517994369,40094.0,18.0,0.0448944979298648,122488.0,93.0,0.075925804976814,213292,575,0.2695834817995987,135803,178,0.1310722148995235
2016-08-01,217943,108,0.0495542412465644,40803.0,53.0,0.1298924098718231,43145.0,28.0,0.0648974388689303,113771.0,78.0,0.0685587715674468,201036,639,0.3178535187727571,126291,194,0.1536134799787791
2016-09-01,213346,87,0.0407788287570425,40479.0,10.0,0.0247041675930729,45444.0,4.0,0.0088020420737611,126785.0,79.0,0.0623102101983673,218739,198,0.0905188375186866,144409,101,0.0699402391817684
2016-10-01,190237,53,0.0278599851763852,35675.0,6.0,0.0168185003503854,38673.0,8.0,0.0206862669045587,126570.0,79.0,0.0624160543572726,204509,110,0.0537873638812961,126961,52,0.040957459377289
2016-11-01,192636,66,0.0342615087522581,34133.0,3.0,0.0087891483315266,36006.0,6.0,0.0166638893517747,112873.0,78.0,0.0691042144711312,187201,61,0.0325852960187178,112064,20,0.0178469446030839
2016-12-01,179632,74,0.041195332680146,32151.0,4.0,0.0124412926503063,33673.0,1.0,0.0029697383660499,100947.0,24.0,0.0237748521501381,172476,35,0.0202926784016326,105132,29,0.0275843701251759
2017-01-01,225147,97,0.0430829635749088,39397.0,4.0,0.0101530573393913,42452.0,1.0,0.0023556016206539,136346.0,75.0,0.0550071142534434,217760,120,0.0551065393093313,142885,25,0.0174965881653077
2017-02-01,215139,51,0.0237056042837421,38950.0,7.0,0.017971758664955,40607.0,7.0,0.0172384071711773,125407.0,62.0,0.0494390265296195,214386,115,0.0536415624154562,133268,32,0.0240117657652249
2017-03-01,310019,58,0.018708530767469,42236.0,9.0,0.0213088360640212,43085.0,4.0,0.0092839735406754,138048.0,45.0,0.0325973574408901,256470,97,0.0378211876632744,160634,30,0.018675996364406
2017-04-01,425216,153,0.0359817128236002,39500.0,5.0,0.0126582278481012,37295.0,8.0,0.0214505965947177,121104.0,72.0,0.0594530321046373,271509,193,0.0710841997871157,161135,52,0.0322710770471964
2017-05-01,525244,202,0.0384583165157526,42984.0,5.0,0.0116322352503257,36342.0,2.0,0.0055032744482967,127796.0,112.0,0.0876396757331997,297400,211,0.0709482178883658,171102,72,0.0420801627099624
2017-06-01,492000,591,0.1201219512195121,41601.0,5.0,0.0120189418523593,40739.0,6.0,0.0147279020103586,117450.0,52.0,0.0442741592166879,284491,227,0.0797916278546597,169490,71,0.0418903770133931
2017-07-01,544094,261,0.0479696523027271,41441.0,22.0,0.0530875220192562,38044.0,6.0,0.0157712122805172,113383.0,97.0,0.0855507439386857,281847,199,0.0706056832252959,156078,95,0.0608670023962377
2017-08-01,468240,356,0.0760293866393302,38316.0,8.0,0.0208790061593068,39029.0,16.0,0.0409951574470265,96876.0,42.0,0.0433543911804781,244709,207,0.0845902684412915,137082,184,0.1342262295560321
2017-09-01,362412,186,0.0513228038806662,33627.0,1.0,0.0029738008148214,33571.0,8.0,0.0238300914479759,87137.0,310.0,0.3557616167644055,223361,278,0.1244621934894632,125382,72,0.0574245106953151
2017-10-01,394083,147,0.0373017866794558,36665.0,5.0,0.0136369834992499,34128.0,2.0,0.0058602906704172,98792.0,75.0,0.0759170783059357,256099,166,0.0648186833997789,125591,60,0.0477741239420022
2017-11-01,437349,120,0.0274380414725996,46324.0,4.0,0.008634832915983,42597.0,8.0,0.0187806653050684,106399.0,63.0,0.0592110828109286,254134,95,0.03738185366775,146029,26,0.017804682631532
2017-12-01,487050,196,0.0402422749204393,50363.0,10.0,0.0198558465540178,60920.0,8.0,0.0131319763624425,124955.0,47.0,0.0376135408747149,257766,278,0.1078497552043326,150595,24,0.0159367840897772
2018-01-01,570373,207,0.0362920404717614,60332.0,6.0,0.0099449711595836,72961.0,10.0,0.0137059524951686,146392.0,61.0,0.0416689436581233,299107,61,0.020394039591183,166350,19,0.0114217012323414
2018-02-01,532042,152,0.0285691731103935,55452.0,5.0,0.0090168073288609,69626.0,4.0,0.0057449803234423,137069.0,53.0,0.0386666569392058,326322,76,0.0232898793216516,141415,24,0.0169713255312378
2018-03-01,557757,237,0.0424916226959052,56255.0,2.0,0.0035552395342636,75467.0,9.0,0.0119257423774629,144517.0,56.0,0.038749766463461,372489,121,0.0324841807409077,170314,53,0.0311189919795201
2018-04-01,406140,140,0.0344708721130644,46506.0,3.0,0.0064507805444458,52334.0,11.0,0.0210188405243245,106608.0,54.0,0.0506528590724898,282514,105,0.0371662997231995,160113,115,0.0718242741064123
