,Germany,Germany,Germany,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Spain,Spain,Spain,France,France,France
,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio
date,,,,,,,,,,,,,,,,,,
2010-03-24,13,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,16,0,0.0,98,0,0.0
2010-03-25,24,0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,9,0,0.0,99,0,0.0
2010-03-26,19,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,10,0,0.0,90,0,0.0
2010-03-27,13,0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,5,0,0.0,53,0,0.0
2010-03-28,15,0,0.0,,,,,,,1.0,0.0,0.0,4,0,0.0,67,0,0.0
2010-03-29,33,0,0.0,3.0,0.0,0.0,,,,1.0,0.0,0.0,12,0,0.0,83,0,0.0
2010-03-30,20,0,0.0,,,,2.0,0.0,0.0,1.0,0.0,0.0,8,0,0.0,77,0,0.0
2010-03-31,22,0,0.0,1.0,0.0,0.0,,,,2.0,0.0,0.0,7,0,0.0,85,0,0.0
2010-04-01,23,0,0.0,1.0,0.0,0.0,,,,3.0,0.0,0.0,3,0,0.0,87,0,0.0
2010-04-02,17,0,0.0,1.0,0.0,0.0,,,,,,,6,0,0.0,105,0,0.0
2010-04-03,11,0,0.0,2.0,0.0,0.0,,,,,,,4,0,0.0,52,0,0.0
2010-04-04,14,0,0.0,,,,,,,,,,5,0,0.0,44,0,0.0
2010-04-05,10,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,10,0,0.0,53,0,0.0
2010-04-06,27,0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11,0,0.0,86,0,0.0
2010-04-07,26,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,19,0,0.0,82,0,0.0
2010-04-08,24,0,0.0,4.0,0.0,0.0,,,,,,,17,0,0.0,85,0,0.0
2010-04-09,28,0,0.0,1.0,0.0,0.0,,,,,,,9,0,0.0,82,0,0.0
2010-04-10,22,0,0.0,3.0,0.0,0.0,,,,1.0,0.0,0.0,9,0,0.0,58,0,0.0
2010-04-11,14,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,6,0,0.0,59,0,0.0
2010-04-12,27,0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9,0,0.0,77,0,0.0
2010-04-13,28,0,0.0,4.0,0.0,0.0,,,,1.0,0.0,0.0,7,0,0.0,89,0,0.0
2010-04-14,29,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11,0,0.0,94,0,0.0
2010-04-15,15,0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,16,0,0.0,103,0,0.0
2010-04-16,28,0,0.0,3.0,0.0,0.0,,,,,,,10,0,0.0,78,0,0.0
2010-04-17,14,0,0.0,1.0,0.0,0.0,,,,2.0,0.0,0.0,4,0,0.0,55,0,0.0
2010-04-18,17,0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,,,,10,0,0.0,66,0,0.0
2010-04-19,36,0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0.0,78,1,0.01282051282051282
2010-04-20,48,0,0.0,11.0,0.0,0.0,,,,,,,8,0,0.0,63,0,0.0
2010-04-21,56,0,0.0,2.0,0.0,0.0,,,,4.0,0.0,0.0,12,0,0.0,63,0,0.0
2010-04-22,56,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,49,0,0.0,86,0,0.0
2010-04-23,62,0,0.0,1.0,0.0,0.0,,,,3.0,0.0,0.0,46,0,0.0,74,0,0.0
2010-04-24,23,0,0.0,1.0,0.0,0.0,,,,,,,47,0,0.0,49,0,0.0
2010-04-25,23,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,,,46,0,0.0,48,0,0.0
2010-04-26,52,0,0.0,,,,1.0,0.0,0.0,3.0,0.0,0.0,45,0,0.0,88,0,0.0
2010-04-27,55,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49,0,0.0,93,0,0.0
