"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","FR","France",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","HU","Hungary",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","IE","Ireland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","IT","Italy",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","LV","Latvia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","MT","Malta",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","NL","Netherlands",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","NO","Norway",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","PT","Portugal",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","RO","Romania",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","SE","Sweden",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","SI","Slovenia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","SK","Slovakia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-01","UK","United Kingdom",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","AT","Austria",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","BE","Belgium",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","CZ","Czechia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","DK","Denmark",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","EE","Estonia",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","EL","Greece",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","ES","Spain",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","EU27_21","EU (without UK)",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","EU27_UK_21","EU (with UK until 2019)",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","EUEEA30_21","EU/EEA (without UK)",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","EUEEAUK_21","EU/EEA (with UK until 2019)",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","FI","Finland",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","FR","France",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","HU","Hungary",0.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016-02","IE","Ireland",0.000000000,""
