country,qid,year,month,views,total_views,views_norm
DE,Q158856,2024,3,260,1142964188.0,0.22747869332192935
DE,Q158856,2024,4,142,1077280119.0,0.1318134415511292
DE,Q158856,2024,5,613,1083180889.0,0.5659257897043639
DE,Q158856,2024,6,724,1055978549.0,0.6856199879113264
DE,Q158856,2024,7,3218,1063682946.0,3.0253375896467554
DE,Q158856,2024,8,15564,1068072391.0,14.572045987845405
DE,Q158856,2024,9,14908,1019541571.0,14.622258105059652
DE,Q158856,2024,10,4094,1066646637.0,3.838197072944974
DE,Q158856,2024,11,4956,1015043685.0,4.882548478689368
DE,Q158856,2025,1,131,1204433626.0,0.10876481457517859
DE,Q158856,2025,5,131,1026492186.0,0.12761909129622934
DE,Q158856,2025,7,4327,965067983.0,4.483621958475023
DE,Q158856,2025,8,15160,993169707.0,15.264259363883317
DE,Q158856,2025,9,4426,978761012.0,4.522043630401575
DE,Q158856,2025,10,789,1047346829.0,0.7533321132535744
DE,Q158856,2026,2,1125,939520552.0,1.1974192556034686
DE,Q202864,2023,3,107,1130556117.0,0.09464368764279571
DE,Q202864,2023,4,879,1058416300.0,0.8304860762253944
DE,Q202864,2023,5,578,1065602480.0,0.542416155037477
DE,Q202864,2023,6,586,1019080224.0,0.5750283306449483
DE,Q202864,2023,7,488,1096200614.0,0.4451739889282711
DE,Q202864,2023,8,2140,1072558100.0,1.9952299087573901
DE,Q202864,2023,9,1271,992596368.0,1.280480204215295
DE,Q202864,2024,1,311,1335740029.0,0.23282973726019857
DE,Q202864,2024,2,557,1116155910.0,0.4990342254246541
DE,Q202864,2024,3,102,1142964188.0,0.08924164122629535
DE,Q202864,2024,4,147,1077280119.0,0.13645475991560557
DE,Q202864,2024,6,361,1055978549.0,0.341863005022084
DE,Q202864,2024,8,137,1068072391.0,0.12826845928648295
DE,Q202864,2025,7,237,965067983.0,0.24557855423124117
DE,Q202864,2025,8,2180,993169707.0,2.194992441508287
DE,Q202864,2025,9,157,978761012.0,0.16040687979508525
DE,Q202864,2025,10,825,1047346829.0,0.7877046811586804
DE,Q202864,2026,3,103,966588633.0,0.1065603261651433
DE,Q202864,2026,4,101,940856808.0,0.1073489601618528
DE,Q243257,2023,6,1821,1019080224.0,1.7869054438642507
DE,Q243257,2023,7,380,1096200614.0,0.34665187662447344
DE,Q243257,2023,9,308,992596368.0,0.3102973272213303
DE,Q243257,2023,11,245,1078845169.0,0.22709468146119122
DE,Q243257,2024,8,144,1068072391.0,0.13482232216973392
DE,Q243257,2025,4,649,1028668272.0,0.6309128196772068
DE,Q243257,2025,5,1571,1026492186.0,1.5304549040181392
DE,Q243257,2025,6,762,943474520.0,0.8076529719106776
DE,Q243257,2025,7,40542,965067983.0,42.00947572001257
DE,Q243257,2025,8,27090,993169707.0,27.27630515617408
DE,Q243257,2025,9,16423,978761012.0,16.779376986462964
DE,Q243257,2025,10,8032,1047346829.0,7.668901817050329
DE,Q243257,2025,11,3885,1039298236.0,3.7380992918379206
DE,Q243257,2025,12,3278,1079604451.0,3.0362972262329064
DE,Q243257,2026,1,2081,1172287155.0,1.7751623321335464
DE,Q243257,2026,2,3650,939520552.0,3.8849602515134762
