country,qid,year,month,views,total_views,views_norm
Spain,Q477918,2022,11,3749,1514580306,2.4752731731347364
Spain,Q477918,2022,12,2159,962916661,2.2421462702263906
Spain,Q477918,2023,1,3274,1143502449,2.863133352152532
Spain,Q477918,2023,2,3203,1276056984,2.510075992029522
Spain,Q477918,2023,3,4738,1477105744,3.2076241117101767
Spain,Q477918,2023,4,5892,1206146370,4.8849792583631455
Spain,Q477918,2023,5,6269,1610435120,3.8927367654525566
Spain,Q477918,2023,6,9665,1439047783,6.716246753010007
Spain,Q477918,2023,7,8220,1402008920,5.863015479245311
Spain,Q477918,2023,8,9163,1450449858,6.317350406469549
Spain,Q477918,2023,9,9854,1411774102,6.979870211558818
Spain,Q477918,2023,10,9398,1565579735,6.002888125017791
Spain,Q477918,2023,11,4653,1467851697,3.169938768003482
Spain,Q477918,2023,12,3908,1334054775,2.929414948497898
Spain,Q477918,2024,1,5785,1684174621,3.434916978243671
Spain,Q477918,2024,2,6423,1477756858,4.346452506871059
Spain,Q477918,2024,3,11483,1529123039,7.509533050727908
Spain,Q477918,2024,4,10667,1510057898,7.063967556560537
Spain,Q477918,2024,5,6629,1180334681,5.61620369773749
Spain,Q477918,2024,6,7528,994593622,7.5689204449774765
Spain,Q477918,2024,7,8440,933079992,9.045312376604898
Spain,Q477918,2024,8,9942,955115990,10.409206948781163
Spain,Q477918,2024,9,8118,961040110,8.447098009259989
Spain,Q477918,2024,10,6569,1028230818,6.388643371706449
Spain,Q477918,2024,11,4915,915782834,5.366992934921075
Spain,Q477918,2024,12,3402,837633710,4.061441128008088
Spain,Q477918,2025,1,3924,964291125,4.069310499979973
Spain,Q477918,2025,2,3641,905973399,4.018881795005109
Spain,Q477918,2025,3,4794,979276557,4.89545059128787
Spain,Q477918,2025,4,4874,924558025,5.271708068295659
Spain,Q477918,2025,5,5580,936098674,5.960910056796
Spain,Q477918,2025,6,6597,887908388,7.429820563875561
Spain,Q477918,2025,7,8186,798506756,10.251635241017297
Spain,Q477918,2025,8,11613,824780435,14.080110908547436
Spain,Q477918,2025,9,6722,880321186,7.635849400084755
Spain,Q477918,2025,10,6497,877393757,7.404885147820809
Spain,Q477918,2025,11,3308,865135622,3.8236779481494985
Spain,Q477918,2025,12,2161,824823060,2.619955848470095
Spain,Q13855063,2022,8,11,1186492273,0.009271025400095462
Spain,Q13855063,2022,9,6,1426095949,0.0042072905432536225
Spain,Q13855063,2022,10,9,1431003386,0.006289293294516355
Spain,Q13855063,2022,11,4,1514580306,0.0026409956501837677
Spain,Q13855063,2022,12,3,962916661,0.0031155344190269443
Spain,Q13855063,2023,1,1,1143502449,0.0008745062162958254
Spain,Q13855063,2023,2,0,1276056984,0.0
Spain,Q13855063,2023,3,3,1477105744,0.0020309988043753758
Spain,Q13855063,2023,4,10,1206146370,0.00829086771616284
Spain,Q13855063,2023,5,6,1610435120,0.003725701163298028
Spain,Q13855063,2023,6,4,1439047783,0.002779615831561307
Spain,Q13855063,2023,7,3,1402008920,0.0021397866712574124
Spain,Q13855063,2023,8,3,1450449858,0.0020683238261932388
Spain,Q13855063,2023,9,2,1411774102,0.0014166572379863645
Spain,Q13855063,2023,10,1,1565579735,0.0006387410220278561
Spain,Q13855063,2023,11,5,1467851697,0.003406338671828371
Spain,Q13855063,2023,12,3,1334054775,0.0022487832255613342
Spain,Q13855063,2024,1,5,1684174621,0.0029688132914811333
Spain,Q13855063,2024,2,3,1477756858,0.002030103926609556
Spain,Q13855063,2024,3,4,1529123039,0.0026158784466525846
Spain,Q13855063,2024,4,3,1510057898,0.0019866787915704142
Spain,Q13855063,2024,5,9,1180334681,0.007624955993307799
Spain,Q13855063,2024,6,7,994593622,0.007038050360632616
Spain,Q13855063,2024,7,3,933079992,0.0032151584277031633
Spain,Q13855063,2024,8,6,955115990,0.0062819595345692
Spain,Q13855063,2024,9,4,961040110,0.00416215718613451
