subtype,n_components,min_cluster_size,n_neighbors,n_topics,noise_pct,largest_topic_pct,good,okay
Usutu,15,30,20,5,22.760646108663728,21.58590308370044,True,True
Usutu,15,50,10,4,13.069016152716593,30.54331864904552,False,False
Usutu,15,50,15,4,17.180616740088105,29.22173274596182,False,False
Usutu,15,50,20,4,17.76798825256975,28.928046989720997,False,False
West Nile,5,10,10,92,18.075422626788036,3.7711313394018204,False,False
West Nile,5,10,15,95,19.115734720416125,3.3810143042912872,False,False
West Nile,5,10,20,86,23.407022106631988,3.29432162982228,False,False
West Nile,5,20,10,40,16.514954486345903,6.328565236237538,False,False
West Nile,5,20,15,39,19.245773732119638,7.975726051148678,False,False
West Nile,5,20,20,40,21.889900303424362,7.282184655396619,False,False
West Nile,5,30,10,30,15.691374078890334,8.2358040745557,False,False
West Nile,5,30,15,23,18.11876896402254,8.625921109666233,False,False
West Nile,5,30,20,25,24.36064152579107,7.282184655396619,False,False
West Nile,5,50,10,17,21.62982228001734,10.01300390117035,True,True
West Nile,5,50,15,17,21.022973558734286,8.625921109666233,True,True
West Nile,5,50,20,17,24.23060251408756,9.709579540528825,True,True
West Nile,10,10,10,89,17.555266579973992,5.548331166016472,False,False
West Nile,10,10,15,84,17.98872995231903,5.591677503250975,False,False
West Nile,10,10,20,77,21.75986129172085,6.675335934113567,False,False
West Nile,10,20,10,40,17.29518855656697,5.548331166016472,False,False
West Nile,10,20,15,38,15.821413090593845,8.2358040745557,False,False
West Nile,10,20,20,33,19.375812743823147,7.498916341569138,False,False
West Nile,10,30,10,28,19.852622453402688,7.238838318162116,False,False
West Nile,10,30,15,27,19.852622453402688,8.2358040745557,False,False
West Nile,10,30,20,25,24.534026874729086,7.498916341569138,False,False
West Nile,10,50,10,17,23.75379280450802,7.628955353272649,True,True
West Nile,10,50,15,17,22.886866059817944,8.755960121369744,True,True
West Nile,10,50,20,16,28.34850455136541,7.498916341569138,False,False
West Nile,15,10,10,95,16.68833983528392,3.3810143042912872,False,False
